222	592382	2499	834
223	613058	1061	723
224	621806	2027	1012
225	638507	269	201
226	640703	20	20
227	640872	47	44
228	641256	1567	795
229	654002	3	3
230	654029	92	77
231	654798	10	9
232	654884	55	41
233	655336	1328	924
234	666164	494	264
235	670192	152	128
236	671420	2	2
237	671439	31	29
238	671695	20	12
239	671858	226	190
240	673676	2	2
241	673695	776	547
242	679908	118	83
243	680845	307	245
244	683399	652	544
245	688774	405	317
246	692095	112	101
247	693004	10	10
248	693089	81	58
249	693762	190	73
250	695381	25	25
251	695589	13	13
252	695699	158	110
253	696974	128	84
254	698023	94	73
255	698780	145	124
256	699999	390	323
257	703166	73	46
258	703773	357	283
259	706718	333	232
260	709423	62	56
261	709938	209	111
262	711643	601	378
263	716636	622	432
264	721743	452	237
265	725457	393	254
266	728688	3	3
267	728713	92	85
268	729452	151	129
269	730707	619	493
270	735794	202	185
271	737442	184	174
272	738969	1206	785
273	749019	85	73
274	749722	60	46
275	750228	14	4
276	750343	6	3
277	750398	27	18
278	750623	2	2
279	750642	139	91
280	751792	111	54
281	752688	136	74
282	753821	204	176
283	755483	232	202
284	757402	26	23
285	757610	19	19
286	757765	334	250
287	760487	93	65
288	761256	46	40
289	761627	136	78
290	762703	5	5
291	762748	9	9
292	762825	70	49
293	763388	1	1
294	763399	2	2
295	763418	12	9
296	763522	32	24
297	763787	18	17
298	763944	889	534
299	771265	78	62
300	771863	33	28
301	772118	24	24
302	772319	105	102
303	773185	47	33
304	773584	11	10
305	773681	44	23
306	774043	2036	1245
307	791027	517	428
308	795263	29	27
309	795509	4	2
310	795543	5	5
311	795587	419	264
312	798968	16	15
313	799098	1	1
314	799109	163	150
315	800440	3	3
316	800469	14	8
317	800586	7	7
318	800647	12	11
319	800753	3	3
320	800780	559	449
321	805318	3	3
322	805346	1	1
323	805357	186	145
324	806866	88	78
325	807593	52	46
326	808023	75	68
327	808651	78	45
328	809289	102	74
329	810136	183	102
330	811655	150	137
331	812899	15	15
332	813027	560	428
333	817662	372	314
334	820716	72	67
335	821324	108	96
336	822214	59	43
337	822703	381	301
338	825858	12	12
339	825960	22	15
340	826138	85	78
341	826838	155	130
342	828121	83	72
343	828817	20	4
344	828971	1	1
345	828982	4	3
346	829018	142	96
347	830189	377	143
348	833213	128	105
349	834261	135	81
350	835385	200	172
351	837030	1	1
352	837041	187	97
353	838587	43	27
354	838951	600	416
355	843818	69	50
356	844398	244	195
357	846428	115	101
358	847397	83	64
359	848081	325	269
360	850761	624	476
361	855926	199	161
362	857566	4	3
363	857600	3	3
364	857627	6	6
365	857679	4	3
366	857715	159	117
367	859049	403	263
368	862334	176	97
369	863759	1	1
370	863770	1	1
371	863781	234	91
372	865674	43	38
373	866032	229	191
374	867915	223	187
375	869770	52	45
376	870185	472	251
377	874059	1	1
378	874070	4	1
379	874099	213	162
380	875848	32	28
381	876118	24	18
382	876313	72	61
383	876915	150	109
384	878144	1	1
385	878155	962	713
386	886098	15	15
387	886227	337	295
388	888984	264	233
389	891171	769	447
390	897451	40	31
391	897791	108	100
392	898683	412	271
393	902040	238	194
394	904028	142	123
395	905204	412	330
396	908567	82	61
397	909232	412	250
398	912636	60	52
399	913114	26	24
400	913326	93	52
401	914100	25	24
402	914314	7	6
403	914374	367	312
404	917357	174	150
405	918789	467	267
406	922656	63	44
407	923190	13	13
408	923303	25	23
409	923514	31	29
410	923773	14	13
411	923883	64	58
412	924414	30	27
413	924665	78	66
414	925315	155	116
415	926606	28	28
416	926842	35	31
417	927136	51	44
418	927563	194	81
419	929189	17	13
420	929332	8	8
421	929403	28	26
422	929647	11	9
423	929742	218	190
424	931551	28	27
425	931782	735	501
426	937853	2	2
427	937872	645	480
428	943218	153	120
429	944470	610	422
430	949504	231	205
431	951416	3	3
432	951442	61	40
433	951937	58	45
434	952410	3	2
435	952437	442	295
436	956085	500	394
437	960217	285	181
438	962581	37	35
439	962891	52	48
440	963323	87	74
441	964038	19	19
442	964193	214	171
443	965976	5	2
444	966012	13	5
445	966108	53	38
446	966542	12	9
447	966645	1	1
448	966655	12	1
449	966728	13	12
450	966836	3	3
451	966860	46	33
452	967232	358	159
453	970179	16	14
454	970304	99	87
455	971130	32	28
456	971393	2	2
457	971412	138	56
458	972551	13	10
459	972657	53	34
460	973087	2	2
461	973105	22	8
462	973270	83	80
463	973963	547	439
464	978478	204	160
465	980189	57	53
466	980665	199	180
467	982339	52	36
468	982780	160	110
469	984094	83	74
470	984769	1	1
471	984779	42	27
472	985123	121	111
473	986132	52	36
474	986550	154	138
475	987821	15	12
476	987946	481	359
477	991956	29	27
478	992197	55	50
479	992650	27	26
480	992878	1	1
481	992888	23	18
482	993081	13	7
483	993189	192	144
484	994774	36	34
485	995079	197	133
486	996655	39	23
487	996969	13	12
488	997080	10	4
489	997154	4	4
490	997190	158	114
491	998499	33	28
492	998775	215	164
493	1000499	1	1
494	1000510	57	23
495	1000999	1	1
496	1001010	40	31
497	1001341	1	1
498	1001352	240	144
499	1003339	10	6
500	1003426	167	149
501	1004806	8	7
502	1004877	30	22
503	1005123	166	148
504	1006501	20	16
505	1006667	5	5
506	1006709	5	5
507	1006756	100	66
508	1007584	45	37
509	1007967	16	13
510	1008098	1	1
511	1008109	169	134
512	1009500	2	1
513	1009517	2	2
514	1009536	73	52
515	1010138	98	92
516	1010960	2805	1306
517	1034334	28	28
518	1034573	144	123
519	1035757	7	5
520	1035814	311	250
521	1038351	726	324
522	1044270	9	8
523	1044348	74	63
524	1044971	502	391
525	1049127	632	498
526	1054353	397	311
527	1057649	52	46
528	1058076	41	32
529	1058412	55	52
530	1058867	88	80
531	1059590	86	76
532	1060308	171	121
533	1061727	2	2
534	1061747	22	19
535	1061930	67	52
536	1062490	7	7
537	1062552	81	62
538	1063221	5	4
539	1063261	97	85
540	1064083	41	38
541	1064417	12	11
542	1064516	16	16
543	1064655	15	15
544	1064785	4	4
545	1064823	76	67
546	1065456	128	79
547	1066538	152	132
548	1067800	107	100
549	1068679	97	84
550	1069475	1	1
551	1069486	151	137
552	1070722	17	13
553	1070860	5	5
554	1070904	1	1
555	1070915	2	2
556	1070935	51	41
557	1071357	1	1
558	1071368	96	53
559	1072165	260	227
560	1074309	179	133
561	1075807	725	451
562	1081707	93	85
563	1082475	46	38
564	1082846	3	3
565	1082874	62	41
566	1083370	268	182
567	1085588	21	19
568	1085765	542	429
569	1090214	318	198
570	1092825	2	2
571	1092845	55	50
572	1093301	1	1
573	1093312	1	1
574	1093323	70	65
575	1093914	27	25
576	1094139	39	35
577	1094466	33	15
578	1094755	40	38
579	1095091	14	13
580	1095213	67	58
581	1095777	4	4
582	1095812	9	9
583	1095890	13	13
584	1096003	36	29
585	1096301	48	46
586	1096702	61	45
587	1097212	271	243
588	1099447	178	151
589	1100946	2	2
590	1100966	32	29
591	1101229	89	77
592	1101969	57	37
593	1102445	8	3
594	1102514	180	165
595	1104010	107	89
596	1104895	71	69
597	1105489	6	6
598	1105543	159	133
599	1106876	22	21
600	1107054	176	113
601	1108543	282	215
602	1110897	64	59
603	1111424	19	16
604	1111581	35	33
605	1111877	138	115
606	1113039	15	14
607	1113171	12	12
608	1113272	70	60
609	1113843	121	107
610	1114838	36	36
611	1115139	20	20
612	1115306	515	410
613	1119442	55	53
614	1119910	1	1
615	1119921	62	55
616	1120440	468	350
617	1124282	40	31
618	1124619	620	490
619	1129761	33	31
620	1130032	34	29
621	1130305	143	101
622	1131484	4	4
623	1131519	48	41
624	1131924	50	44
625	1132330	4	4
626	1132365	81	75
627	1133039	203	176
628	1134698	93	88
629	1135467	103	92
630	1136321	6	5
631	1136370	71	61
632	1136964	9	6
633	1137042	1	1
634	1137053	44	41
635	1137411	13	12
636	1137518	70	67
637	1138105	8	8
638	1138172	30	29
639	1138421	20	11
640	1138595	17	17
641	1138739	111	101
642	1139632	1	1
643	1139643	155	108
644	1140927	39	37
645	1141248	2	2
646	1141268	909	640
647	1148679	18	18
648	1148834	15	15
649	1148965	516	401
650	1153220	223	196
651	1155076	28	22
652	1155307	48	36
653	1155692	37	25
654	1156005	144	105
655	1157216	214	177
656	1158991	6	4
657	1159043	44	33
658	1159398	109	51
659	1160278	21	20
660	1160458	2	2
661	1160477	476	319
662	1164473	6	6
663	1164529	109	88
664	1165421	2	2
665	1165441	2832	1370
666	1188492	70	59
667	1189090	214	190
668	1190874	80	73
669	1191531	47	30
670	1191930	23	19
671	1192133	27	24
672	1192360	244	218
673	1194388	160	126
674	1195723	39	23
675	1196052	166	147
676	1197444	612	501
677	1202476	7	5
678	1202532	392	297
679	1205765	270	232
680	1207990	223	202
681	1209821	158	143
682	1211130	2	2
683	1211148	478	342
684	1215119	580	361
685	1219861	229	156
686	1221713	221	205
687	1223537	74	66
688	1224162	28	25
689	1224402	1685	748
690	1238494	622	507
691	1243604	8	6
692	1243671	303	175
693	1246208	114	103
694	1247164	1	1
695	1247175	6	6
696	1247227	378	251
697	1250276	71	57
698	1250862	81	76
699	1251531	1081	700
700	1260403	32	30
701	1260668	3	2
702	1260696	134	110
703	1261791	109	101
704	1262671	9	8
705	1262744	12	11
706	1262846	773	542
707	1269148	61	57
708	1269652	80	78
709	1270317	108	55
710	1271188	391	266
711	1274410	26	19
712	1274633	19	19
713	1274791	966	425
714	1282699	609	285
715	1287516	833	450
716	1294150	307	186
717	1296662	20	14
718	1296816	22	22
719	1296989	273	181
720	1299130	37	34
721	1299427	1485	845
722	1311510	1217	743
